loan_id,loan_amount,term,annual_income,credit_score,employment_length,purpose,default
L0072,14206,60,37015,664,3,home_improvement,0
L0073,10226,36,70002,758,6,credit_card,0
L0074,16541,36,31254,563,10,medical,0
L0075,5152,60,42144,558,0,home_improvement,1
L0076,28531,36,49214,589,5,education,0
L0077,3585,36,105719,743,2,education,0
L0078,5943,60,96774,786,10,education,0
L0079,25939,36,31090,574,9,credit_card,1
L0080,21457,36,36637,652,6,home_improvement,0
L0081,3021,36,47415,750,9,car,0
L0082,13653,60,49071,795,1,medical,1
L0083,12805,60,83243,571,1,small_business,0
L0084,15417,60,66240,784,3,home_improvement,0
L0085,22227,36,108807,787,0,education,0
L0086,9989,36,58434,553,2,car,0
L0087,11692,60,94724,703,8,small_business,1
L0088,14990,36,100697,735,6,small_business,0
L0089,8873,36,53732,578,6,vacation,0
L0090,7675,60,36314,658,10,home_improvement,0
L0091,2161,60,48954,647,3,credit_card,0
L0092,6297,36,82108,764,1,home_improvement,0
L0093,28557,36,112044,586,3,car,1
L0094,2995,36,112505,624,5,small_business,0
L0095,13534,60,61668,619,10,home_improvement,0
L0096,9629,60,48061,695,10,credit_card,0
L0097,27851,60,104252,677,2,vacation,0
L0098,3016,60,64749,634,0,home_improvement,0
L0099,26253,36,41907,591,7,medical,0
L0100,24823,60,43777,649,4,vacation,1
L0101,26276,60,118229,590,4,credit_card,0
L0102,25247,60,76745,715,10,car,0
L0103,26300,60,116865,583,3,small_business,0
L0104,10529,60,106818,566,5,home_improvement,0
L0105,19262,36,48624,714,2,credit_card,1
L0106,11268,36,48321,702,8,vacation,0
L0107,23271,60,35488,779,4,medical,0
L0108,14185,36,47574,671,2,credit_card,0
L0109,23243,60,30240,625,10,debt_consolidation,0
L0110,8331,60,68221,636,0,education,0
L0111,10571,36,35478,666,9,medical,0
L0112,27068,36,80645,655,5,vacation,1
L0113,9208,60,44262,635,1,car,0
L0114,7276,60,77796,762,2,small_business,0
L0115,20446,60,29432,576,0,vacation,0
L0116,18448,36,89291,606,8,education,1
L0117,18216,60,104104,580,7,car,0
L0118,10006,60,84399,683,1,home_improvement,1
L0119,4568,60,104714,768,10,credit_card,0
L0120,23847,36,75428,717,7,debt_consolidation,0
L0121,4027,60,112731,647,8,medical,1
L0122,4695,60,25302,561,0,medical,0
L0123,28071,36,107558,786,4,credit_card,0
L0124,17422,60,25055,798,7,debt_consolidation,0
L0125,7258,60,33717,602,10,credit_card,1
L0126,24002,36,53699,748,1,home_improvement,0
L0127,8736,60,98686,687,3,education,0
L0128,2391,36,92661,722,6,car,0
L0129,15986,36,69247,694,2,vacation,0
L0130,14666,60,41748,703,4,medical,0
L0131,7892,60,29621,762,7,home_improvement,1
L0132,5561,60,40034,769,9,car,1
L0133,28854,60,30126,739,2,home_improvement,1
L0134,8184,36,30122,671,3,debt_consolidation,0
L0135,21483,60,43030,595,8,medical,0
L0136,24662,36,107838,613,6,vacation,1
L0137,10392,60,109717,679,0,credit_card,0
L0138,15067,60,80658,603,3,credit_card,1
L0139,17265,60,63638,656,3,car,1
L0140,21488,36,92067,742,8,vacation,0
L0141,25599,60,113869,600,5,education,0
L0142,4454,60,59674,730,8,small_business,0
L0143,13837,60,60854,585,5,debt_consolidation,0
L0144,16039,60,71271,664,5,car,0
L0145,27380,36,98688,575,4,small_business,1
L0146,21115,60,63518,578,4,home_improvement,0
L0147,12965,36,35267,698,1,debt_consolidation,0
L0148,26538,36,115825,560,7,home_improvement,0
L0149,11762,36,26062,589,7,education,0
L0150,7056,36,75448,560,10,vacation,0
L0151,16948,36,31229,713,0,medical,0
L0152,10110,36,81793,662,7,debt_consolidation,0
L0153,15773,60,72915,736,4,small_business,0
L0154,29266,36,29632,588,1,education,0
L0155,22224,36,28596,781,1,medical,0
L0156,19412,36,31168,776,5,credit_card,1
L0157,25769,60,32561,603,10,small_business,0
L0158,2502,60,98794,647,8,car,0
L0159,8910,36,107152,604,0,credit_card,0
L0160,14685,60,51734,660,5,education,0
L0161,27446,36,31371,701,8,credit_card,0
L0162,25322,36,51069,795,7,car,0
L0163,22872,60,104905,699,10,debt_consolidation,0
L0164,2206,36,37910,618,5,credit_card,0
L0165,23518,60,98479,605,2,vacation,0
L0166,24361,60,102735,582,7,small_business,0
L0167,26105,36,106264,799,8,medical,0
L0168,25419,36,48275,585,0,credit_card,0
L0169,19868,60,97274,788,8,small_business,0
L0170,26242,36,106449,697,5,home_improvement,0
L0171,17934,36,85004,760,5,small_business,0
L0172,19247,36,87981,776,3,medical,1
L0173,21174,60,109659,793,0,small_business,0
L0174,25792,60,79553,784,9,car,1
L0175,10755,36,73447,630,7,education,0
L0176,23500,60,59529,739,1,medical,0
L0177,14383,60,100703,658,0,education,0
L0178,24403,60,101090,784,1,debt_consolidation,0
L0179,20141,60,42260,775,0,education,0
L0180,16820,60,28812,750,0,home_improvement,0
L0181,9574,36,53024,703,8,car,0
L0182,8374,36,83656,743,0,debt_consolidation,1
L0183,25276,36,52285,794,3,small_business,1
L0184,3678,60,117436,622,9,medical,0
L0185,21626,60,26605,750,5,home_improvement,0
L0186,23020,36,96158,589,6,car,0
L0187,3059,60,97303,566,1,debt_consolidation,0
L0188,25052,36,52139,678,5,debt_consolidation,0
L0189,18198,36,102149,766,6,home_improvement,0
L0190,11914,36,81138,610,9,vacation,0
L0191,29890,60,101125,720,9,small_business,1
L0192,21541,60,38918,653,1,home_improvement,0
L0193,24299,36,110655,591,1,debt_consolidation,0
L0194,12817,36,52446,574,9,credit_card,1
L0195,12921,36,38046,588,6,car,0
L0196,11789,36,49818,584,0,home_improvement,0
L0197,18312,60,29324,680,7,vacation,1
L0198,13252,60,101323,791,10,debt_consolidation,0
L0199,4693,36,34111,778,2,small_business,0
L0200,15931,36,63110,657,10,education,0
L0201,5627,60,41389,721,5,debt_consolidation,0
L0202,27939,60,66427,728,8,small_business,0
L0203,18157,36,104579,771,5,home_improvement,1
L0204,12173,36,53746,651,8,small_business,1
L0205,23834,36,112886,647,6,medical,0
L0206,20047,60,25117,561,8,medical,1
L0207,28105,60,109471,568,1,medical,0
L0208,12230,60,38234,650,7,vacation,0
L0209,17707,36,78441,593,7,vacation,0
L0210,23976,36,25846,736,1,credit_card,0
L0211,13494,60,35954,598,3,vacation,0
L0212,28813,60,104239,738,10,education,1
L0213,25776,36,71514,566,6,home_improvement,0
L0214,3306,60,113236,623,10,debt_consolidation,0
L0215,8776,60,31469,606,3,debt_consolidation,0
L0216,29251,36,55105,604,3,credit_card,1
L0217,24248,60,67101,790,5,vacation,1
L0218,11474,36,89323,596,9,education,1
L0219,9526,36,116922,561,5,small_business,0
L0220,27285,36,83067,611,9,credit_card,0
L0221,23959,36,74376,629,2,education,0
L0222,7530,36,70587,765,8,small_business,0
L0223,22797,36,61976,632,9,education,0
L0224,5748,36,92584,557,10,small_business,1
L0225,15545,60,103477,772,1,car,0
L0226,2663,36,67533,698,5,education,0
L0227,3998,36,26828,630,6,debt_consolidation,0
L0228,9994,60,26917,764,8,medical,0
L0229,19879,60,45618,778,2,vacation,0
L0230,5304,60,57254,667,9,small_business,0
L0231,22147,36,72362,757,2,car,0
L0232,23616,60,45128,747,6,education,1
L0233,20237,36,84383,749,3,debt_consolidation,1
L0234,15808,36,90545,574,7,medical,0
L0235,8585,36,107180,759,6,small_business,0
L0236,19675,36,112958,638,4,education,1
L0237,21965,60,34865,561,6,education,0
L0238,13649,60,27219,692,2,small_business,0
L0239,25938,36,64809,608,1,credit_card,1
L0240,25664,36,30287,703,5,credit_card,0
L0241,3636,36,59387,782,1,debt_consolidation,0
L0242,22080,60,33512,658,2,medical,0
L0243,29575,36,26342,575,5,small_business,0
L0244,29728,36,88076,596,4,debt_consolidation,0
L0245,19082,60,44216,581,7,debt_consolidation,1
L0246,28736,60,118070,559,8,home_improvement,0
L0247,6737,36,104767,565,10,education,0
L0248,16555,60,51614,748,2,vacation,0
L0249,15877,60,61258,694,9,education,0
L0250,2854,36,118789,700,2,credit_card,0
L0251,26548,60,67078,575,2,medical,1
L0252,7855,36,108524,762,5,education,0
L0253,9392,60,37219,635,0,small_business,1
L0254,24912,36,25235,799,6,debt_consolidation,1
L0255,15949,36,67929,684,0,small_business,0
L0256,23633,36,92444,563,4,home_improvement,0
L0257,23556,60,33567,628,9,medical,1
L0258,20091,36,95792,666,7,debt_consolidation,0
L0259,29353,60,90441,556,3,small_business,0
L0260,7791,36,109555,686,4,credit_card,0
L0261,28309,36,98698,664,3,vacation,0
L0262,23919,60,30415,725,3,home_improvement,0
L0263,6931,36,61159,621,7,medical,1
L0264,21894,36,68925,791,1,home_improvement,1
L0265,2202,60,30951,608,0,credit_card,0
L0266,13447,36,112388,764,2,medical,0
L0267,22602,36,33007,770,8,home_improvement,0
L0268,14688,36,66832,631,3,car,0
L0269,27342,36,83596,772,9,credit_card,0
L0270,6389,60,55523,771,4,credit_card,0
L0271,4327,60,113861,665,1,credit_card,0
L0272,10004,36,111740,716,3,car,1
L0273,21315,60,40524,776,1,car,0
L0274,9777,36,44282,695,1,small_business,0
L0275,2197,60,48930,736,3,debt_consolidation,0
L0276,25509,36,25077,783,5,vacation,1
L0277,3930,36,45611,652,6,home_improvement,0
L0278,13774,36,41984,566,9,small_business,0
L0279,17087,36,39060,563,2,home_improvement,0
L0280,24671,36,107985,708,2,vacation,1
L0281,27184,36,109056,701,9,debt_consolidation,0
L0282,29848,60,68303,776,5,car,0
L0283,11339,36,84207,657,2,debt_consolidation,0
L0284,22666,60,100046,737,1,car,0
L0285,13589,36,54287,594,7,vacation,0
L0286,20895,60,118709,647,4,debt_consolidation,1
L0287,17708,60,64711,680,0,small_business,0
L0288,28370,60,36954,586,2,medical,0
L0289,19043,36,98340,720,9,small_business,0
L0290,4811,36,97101,717,7,home_improvement,1
L0291,25482,60,96520,767,3,small_business,0
L0292,16243,36,112062,732,6,vacation,0
L0293,8546,60,43574,764,9,credit_card,1
L0294,27945,36,34184,657,1,home_improvement,1
L0295,3986,60,44096,588,6,debt_consolidation,0
L0296,10338,60,92728,564,4,home_improvement,0
L0297,13411,36,59016,669,4,medical,1
L0298,4911,60,36246,790,5,car,0
L0299,3734,36,70558,553,8,debt_consolidation,1
L0300,20227,60,43381,642,5,education,1
L0301,10680,60,61455,763,7,home_improvement,0
L0302,21360,36,117263,702,6,debt_consolidation,0
L0303,20343,36,29018,690,8,debt_consolidation,0
L0304,7759,36,36302,759,3,debt_consolidation,0
L0305,25078,60,92506,710,1,car,0
L0306,4385,36,66157,565,6,education,1
L0307,13111,60,79917,786,5,vacation,0
L0308,6736,60,117738,719,0,small_business,1
L0309,3802,36,108122,657,10,debt_consolidation,0
L0310,10155,36,49519,675,8,credit_card,0
L0311,10120,60,112487,743,8,vacation,0
L0312,8616,60,81819,604,1,medical,0
L0313,16257,36,105910,776,2,car,0
L0314,16486,36,96324,719,4,home_improvement,0
L0315,23918,36,30408,583,4,car,1
L0316,22445,36,84379,707,0,home_improvement,0
L0317,29945,36,50053,796,7,car,0
L0318,18646,60,34446,562,7,home_improvement,0
L0319,16075,60,25922,690,3,debt_consolidation,0
L0320,24671,60,76356,567,6,small_business,0
L0321,27199,60,35789,709,10,home_improvement,0
L0322,11208,36,91656,645,9,education,0
L0323,18371,36,69028,776,2,home_improvement,0
L0324,13835,36,89484,672,5,credit_card,0
L0325,15168,60,57154,588,9,home_improvement,1
L0326,4049,60,107870,595,9,credit_card,0
L0327,7423,36,27336,793,8,medical,0
L0328,16589,36,92779,578,0,debt_consolidation,0
L0329,22932,60,44029,739,4,credit_card,0
L0330,21492,60,84201,790,3,small_business,1
L0331,9158,36,57265,770,7,vacation,0
L0332,12248,36,68872,611,10,debt_consolidation,0
L0333,9400,60,71197,794,0,credit_card,0
L0334,21554,36,80180,785,8,debt_consolidation,0
L0335,11874,36,48710,734,5,education,0
L0336,17151,36,54486,565,3,debt_consolidation,0
L0337,20639,60,96907,733,8,debt_consolidation,1
L0338,3154,60,96895,785,10,medical,0
L0339,6499,60,89435,788,4,small_business,0
L0340,8295,60,65631,670,4,car,0
L0341,24581,60,45103,559,4,car,0
L0342,29767,60,89772,707,0,credit_card,0
L0343,28272,60,39382,702,0,debt_consolidation,0
L0344,14183,36,109291,652,7,credit_card,1
L0345,14874,36,28756,633,7,medical,0
L0346,20032,36,45609,682,5,medical,1
L0347,7539,36,41478,614,10,home_improvement,1
L0348,11637,36,64666,771,3,education,1
L0349,22583,36,100683,726,1,medical,0
L0350,26829,36,96315,552,1,home_improvement,0
L0351,17586,60,102834,722,8,small_business,0
L0352,29759,60,39153,691,4,credit_card,1
L0353,4557,36,101325,669,3,vacation,0
L0354,7592,36,37999,707,9,small_business,0
L0355,18482,60,80318,791,0,medical,0
L0356,4200,36,25814,617,6,small_business,0
L0357,16172,36,101077,695,2,small_business,1
L0358,4961,60,115474,739,5,education,1
L0359,16207,36,27443,586,4,education,0
L0360,23357,60,100993,702,4,education,0
L0361,22817,36,100916,725,10,small_business,0
L0362,13969,60,98319,742,4,medical,0
L0363,4869,60,42368,730,0,vacation,0
L0364,29810,60,40328,787,0,debt_consolidation,1
L0365,19340,36,81942,756,2,small_business,0
L0366,15992,60,116751,622,9,home_improvement,0
L0367,26736,36,52306,692,3,medical,1
L0368,7699,36,110451,598,4,small_business,0
L0369,25328,36,64915,670,1,vacation,0
L0370,22877,36,62219,637,7,debt_consolidation,1
L0371,27876,60,105879,745,10,education,0
L0372,23295,60,89644,689,10,medical,1
L0373,5987,36,85279,736,1,car,1
L0374,28103,36,78028,799,8,debt_consolidation,1
L0375,24399,60,25126,586,1,home_improvement,0
L0376,15446,36,77329,610,8,small_business,0
L0377,3218,60,52632,778,6,vacation,0
L0378,22880,36,90310,720,7,car,1
L0379,6735,36,80176,673,10,vacation,1
L0380,13296,60,111066,747,1,car,0
L0381,29311,36,69327,588,6,medical,0
L0382,6555,60,93904,733,5,car,0
L0383,11146,36,28797,612,3,home_improvement,0
L0384,10050,36,72882,595,6,home_improvement,0
L0385,14757,36,38718,637,3,credit_card,0
L0386,21830,60,59560,560,1,home_improvement,1
L0387,19429,36,101589,611,9,debt_consolidation,0
L0388,8893,36,47116,626,6,car,0
L0389,20077,36,61244,775,7,home_improvement,0
L0390,16373,36,26645,702,1,medical,0
L0391,16565,60,72523,748,4,vacation,0
L0392,5436,60,44256,601,0,education,0
L0393,10754,36,78173,553,6,vacation,1
L0394,12677,60,62430,608,7,credit_card,1
L0395,7895,36,64282,621,5,vacation,0
L0396,21738,36,88374,697,4,car,0
L0397,18609,36,93244,642,5,credit_card,0
L0398,17636,60,36694,612,1,car,0
L0399,23277,60,81264,603,0,medical,0
L0400,9022,60,100060,666,6,credit_card,0
L0401,11151,60,82545,792,6,small_business,0
L0402,7600,60,64224,786,9,debt_consolidation,0
L0403,29643,60,38224,659,10,debt_consolidation,0
L0404,9996,60,65738,623,9,car,1
L0405,11007,60,50150,656,1,vacation,0
L0406,14946,60,88731,775,1,education,0
L0407,26067,36,74688,606,0,education,0
L0408,6642,60,98509,767,9,small_business,1
L0409,13312,60,33577,718,7,credit_card,0
L0410,9679,60,33070,790,7,small_business,0
L0411,10208,60,33666,799,0,small_business,0
L0412,25723,60,82761,552,10,vacation,1
L0413,27819,60,61368,669,7,education,0
L0414,20589,60,31783,555,8,credit_card,1
L0415,12716,60,66914,554,3,medical,1
L0416,19453,60,95507,554,0,vacation,0
L0417,5444,60,104026,603,0,small_business,1
L0418,12757,60,92526,596,2,small_business,0
L0419,16434,36,95835,764,4,medical,1
L0420,3060,36,70765,726,4,small_business,0
L0421,20711,60,44956,558,8,small_business,1
L0422,5420,60,112895,648,9,small_business,0
L0423,2301,36,71240,569,1,debt_consolidation,0
L0424,14468,60,62148,671,1,vacation,0
L0425,18990,36,119270,790,5,home_improvement,0
L0426,21554,36,29757,610,8,vacation,0
L0427,2699,36,44097,672,0,medical,0
L0428,23472,36,35395,783,8,small_business,0
L0429,27715,36,41241,712,8,vacation,0
L0430,2190,60,52696,727,8,debt_consolidation,1
L0431,12492,36,95480,631,4,education,0
L0432,19364,60,71163,611,8,medical,0
L0433,4975,60,44816,694,10,car,0
L0434,8102,36,74840,765,3,vacation,0
L0435,19568,36,77853,552,1,car,1
L0436,21711,60,49917,709,5,small_business,0
L0437,21778,36,46566,776,3,debt_consolidation,0
L0438,26703,36,100452,779,5,debt_consolidation,1
L0439,28641,60,87823,562,2,vacation,1
L0440,3816,60,45806,669,5,medical,0
L0441,24238,36,100520,674,1,medical,1
L0442,25093,60,26759,788,1,debt_consolidation,1
L0443,2569,36,66949,638,8,medical,0
L0444,7442,36,117374,622,6,debt_consolidation,0
L0445,3895,36,27482,617,2,vacation,0
L0446,21117,60,49442,691,10,home_improvement,0
L0447,5863,60,58719,650,0,debt_consolidation,0
L0448,14913,60,83066,647,7,car,0
L0449,9455,60,118501,560,5,medical,0
L0450,6014,60,27079,654,6,debt_consolidation,0
L0451,13093,36,27717,733,8,debt_consolidation,0
L0452,20070,36,84676,616,4,vacation,0
L0453,5009,36,52952,672,0,medical,0
L0454,26190,36,111444,769,9,home_improvement,0
L0455,18538,60,67460,578,6,vacation,0
L0456,12729,36,115397,686,4,home_improvement,1
L0457,3409,60,97847,744,2,education,0
L0458,14249,36,118607,702,8,vacation,0
L0459,2784,60,114106,775,0,medical,0
L0460,29751,60,43449,625,0,credit_card,0
L0461,10096,36,58536,719,0,medical,0
L0462,9560,36,89077,558,2,medical,1
L0463,14533,36,63258,756,5,home_improvement,1
L0464,9343,36,73302,589,9,home_improvement,0
L0465,9206,60,53865,574,10,medical,0
L0466,23980,36,31645,554,2,medical,1
L0467,7801,36,63000,688,7,medical,0
L0468,21190,60,51737,736,9,home_improvement,0
L0469,18921,36,36485,775,1,medical,1
L0470,7986,36,63565,765,8,medical,0
L0471,20225,36,50522,673,2,education,0
L0472,12647,36,90155,756,4,small_business,0
L0473,10716,36,80168,587,9,credit_card,1
L0474,25355,60,77487,621,7,car,0
L0475,24009,36,37342,682,1,credit_card,0
L0476,21334,36,65806,725,5,small_business,0
L0477,26376,36,73770,639,4,car,0
L0478,14323,36,103623,695,9,vacation,0
L0479,6780,36,100629,747,8,medical,0
L0480,4368,60,77603,586,4,small_business,0
L0481,14039,36,106974,609,1,education,0
L0482,8655,60,51399,725,4,vacation,1
L0483,10173,60,110382,754,3,medical,0
L0484,6495,36,106244,577,10,home_improvement,1
L0485,12893,36,101534,746,6,debt_consolidation,0
L0486,27547,36,80106,754,5,small_business,0
L0487,24386,36,55678,630,1,home_improvement,0
L0488,24998,60,101218,663,10,small_business,1
L0489,27742,36,88230,589,10,education,0
L0490,15403,36,99055,594,4,small_business,0
L0491,15121,36,81373,773,6,home_improvement,0
L0492,24303,36,56480,611,10,education,0
L0493,12966,36,110230,642,6,car,0
L0494,28558,36,93836,664,4,credit_card,1
L0495,2853,60,97258,735,8,medical,0
L0496,22530,60,64986,616,3,small_business,1
L0497,22153,36,49160,605,10,medical,0
L0498,18958,36,110595,589,2,debt_consolidation,0
L0499,29837,36,104111,647,3,home_improvement,0
L0500,19532,60,89929,589,4,medical,0
L0501,43791,36,136412,733,2,medical,1
L0502,27955,36,39673,846,1,debt_consolidation,0
L0503,1488,36,170293,618,7,car,0
L0504,22669,36,142253,736,2,home_improvement,1
L0505,19287,60,152860,503,1,debt_consolidation,0
L0506,26962,60,121253,722,0,medical,0
L0507,3696,36,147730,578,0,small_business,1
L0508,46863,36,120817,602,4,education,1
L0509,39046,36,77700,557,5,medical,1
L0510,18316,60,91842,507,5,small_business,0
L0511,12417,60,139684,819,10,debt_consolidation,1
L0512,46012,36,138030,832,1,car,0
L0513,39391,36,156840,696,10,medical,0
L0514,2202,60,137065,646,0,vacation,1
L0515,16736,60,149137,729,7,small_business,1
L0516,3497,60,144943,507,5,car,0
L0517,14632,60,132803,560,6,education,1
L0518,29941,60,88691,572,5,education,0
L0519,48671,36,126649,685,0,home_improvement,0
L0520,2586,36,161053,654,1,small_business,1
L0521,9796,60,101932,832,10,debt_consolidation,0
L0522,42486,60,40229,841,8,home_improvement,0
L0523,49977,36,133695,737,4,home_improvement,1
L0524,6745,60,56183,761,10,credit_card,1
L0525,5815,60,152293,741,2,medical,0
L0526,36640,60,53277,697,3,small_business,1
L0527,36797,36,60115,603,10,home_improvement,1
L0528,13301,36,114486,678,9,credit_card,1
L0529,13297,36,129319,823,1,debt_consolidation,0
L0530,41495,36,146867,645,8,car,1
L0531,10587,60,166884,837,0,vacation,1
L0532,37672,60,146977,580,4,vacation,1
L0533,5974,60,121506,761,7,small_business,0
L0534,23510,36,169965,565,2,home_improvement,0
L0535,3151,36,165828,832,5,vacation,1
L0536,9896,36,141074,716,2,medical,1
L0537,20784,36,170614,544,8,vacation,1
L0538,20490,36,39112,671,4,vacation,0
L0539,48961,36,96003,588,1,vacation,0
L0540,11528,36,64760,567,3,education,0
L0541,2972,36,139721,503,9,credit_card,1
L0542,34282,60,101643,552,6,home_improvement,0
L0543,18886,36,140647,727,4,medical,1
L0544,15060,36,155187,774,7,home_improvement,0
L0545,3334,36,171918,507,2,education,0
L0546,30865,60,116529,584,10,small_business,0
L0547,40058,36,164258,592,6,small_business,0
L0548,48759,60,131576,559,9,small_business,0
L0549,19344,36,176901,630,0,debt_consolidation,1
L0550,49128,60,112632,651,6,vacation,0
L0551,40260,36,104152,571,9,debt_consolidation,1
L0552,4473,36,146986,692,6,credit_card,1
L0553,16300,60,157051,606,8,small_business,1
L0554,42058,60,109802,737,3,education,1
L0555,49164,60,33393,807,0,medical,0
L0556,19840,60,65803,597,4,home_improvement,0
L0557,40376,36,35162,757,6,vacation,1
L0558,16239,36,51071,661,1,car,1
L0559,44700,36,161938,734,3,medical,0
L0560,32939,36,56538,773,10,vacation,1
L0561,11359,60,100722,758,0,debt_consolidation,0
L0562,23524,60,95517,705,5,debt_consolidation,1
L0563,4999,60,167924,815,7,medical,1
L0564,23596,36,164930,750,6,debt_consolidation,1
L0565,13078,60,43398,706,4,small_business,1
L0566,47165,36,130099,548,10,credit_card,0
L0567,45047,60,54897,657,6,home_improvement,1
L0568,36788,60,37922,823,7,credit_card,1
L0569,19473,60,39887,575,4,vacation,0
L0570,1590,36,77495,808,7,home_improvement,0
L0571,32743,60,53627,798,2,education,0
L0572,24588,60,150218,593,5,home_improvement,1
L0573,7227,60,160853,698,9,credit_card,0
L0574,3071,60,157868,840,4,medical,1
L0575,7799,60,171420,605,1,home_improvement,1
L0576,10349,60,45326,729,4,education,0
L0577,2750,36,120876,608,9,education,0
L0578,13564,60,133674,660,7,education,1
L0579,11692,36,168256,608,9,credit_card,1
L0580,34082,36,144236,623,0,home_improvement,0
L0581,18762,60,63738,724,4,car,1
L0582,36264,36,38910,565,8,medical,0
L0583,45491,36,30110,845,2,small_business,0
L0584,13418,60,162703,681,3,home_improvement,1
L0585,16744,60,57106,848,3,education,1
L0586,34280,60,49319,833,10,car,1
L0587,29595,36,67126,807,7,small_business,1
L0588,8206,60,177395,504,5,small_business,1
L0589,44950,60,131816,738,1,vacation,1
L0590,38085,36,47720,819,1,home_improvement,1
L0591,9062,60,52743,785,3,credit_card,0
L0592,37310,60,82672,777,3,home_improvement,0
L0593,44002,36,164554,699,0,car,1
L0594,13165,36,99332,814,9,small_business,0
L0595,4314,36,109942,815,0,home_improvement,0
L0596,9356,60,108544,629,10,credit_card,0
L0597,1547,60,149701,726,4,vacation,0
L0598,11187,60,108618,563,3,home_improvement,0
L0599,46086,36,61956,795,8,medical,0
L0600,18896,60,90254,702,2,vacation,1
L0601,24377,60,143793,741,8,credit_card,0
L0602,20557,36,30393,761,10,car,0
L0603,38823,36,119383,648,8,small_business,1
L0604,9017,36,42810,675,9,home_improvement,1
L0605,34294,60,91982,550,4,credit_card,0
L0606,41237,60,104808,830,4,vacation,0
L0607,34486,60,160607,608,3,medical,0
L0608,7688,60,56132,620,7,credit_card,0
L0609,29104,60,149901,507,3,debt_consolidation,0
L0610,21184,36,68447,810,9,education,1
L0611,4454,60,126281,545,9,medical,1
L0612,21209,36,169011,637,9,vacation,0
L0613,11023,60,54005,834,8,car,0
L0614,25149,36,158881,818,2,small_business,1
L0615,43845,60,34514,626,5,vacation,1
L0616,28721,60,114326,817,0,education,1
L0617,42069,60,163864,630,3,car,0
L0618,28176,60,112571,743,2,home_improvement,0
L0619,5979,60,48739,784,0,credit_card,1
L0620,25425,60,114485,688,10,debt_consolidation,0
L0621,14570,60,88113,809,7,medical,0
L0622,28783,36,100642,504,6,medical,0
